题目 ID,题型,地区,题干,选项 A,选项 B,选项 C,选项 D,正确答案,解析,难度等级
1,单选,上海,以下哪种非遗技艺是上海的代表性传统刺绣技艺，以针法细腻、色彩典雅著称？,苏绣,顾绣,蜀绣,粤绣,B,顾绣是上海国家级非遗，源于明代顾名世家族，是中国四大名绣之外的重要流派；苏绣属江苏、蜀绣属四川、粤绣属广东,中等
2,单选,江苏,江苏宜兴的哪种非遗技艺被誉为 “东方神奇的陶土艺术”，以紫砂茶壶为代表？,青瓷烧制技艺,紫砂陶制作技艺,黑陶制作技艺,白瓷烧制技艺,B,紫砂陶制作技艺是江苏宜兴国家级非遗，以独特泥质和精湛工艺闻名，紫砂茶壶兼具透气性与保温性，是茶文化核心载体,中等
3,单选,浙江,浙江龙泉的传统制瓷技艺中，以 “青如玉、明如镜、声如磬” 为特色的是？,汝窑瓷,官窑瓷,龙泉青瓷,哥窑瓷,C,龙泉青瓷烧制技艺是浙江国家级非遗，始于三国两晋，盛于宋元，分哥窑（开片纹）和弟窑（粉青 / 梅子青釉）,中等
4,单选,安徽,安徽的哪种非遗技艺被誉为 “纸中之王、千年寿纸”，是传统造纸工艺的杰出代表？,宣纸制作技艺,竹纸制作技艺,皮纸制作技艺,毛边纸制作技艺,A,宣纸制作技艺源于安徽泾县（唐代隶属宣州府得名），以青檀皮和沙田稻草为原料，质地绵韧、耐老化,中等
5,单选,上海,上海嘉定南翔镇的哪种传统名产制作技艺入选国家级非遗，以皮薄、肉嫩、汁多著称？,生煎包制作技艺,南翔小笼馒头制作技艺,粢饭团制作技艺,葱油饼制作技艺,B,南翔小笼馒头制作技艺 2014 年入选第四批国家级非遗，是上海本帮点心的代表，制作需精准控制皮厚和馅料比例,简单
6,单选,江苏,镇江的哪种非遗技艺以 “色、香、酸、醇、浓” 为特色，是中国四大名醋之一？,酱油酿造技艺,恒顺香醋酿制技艺,黄酒酿造技艺,豆瓣酱制作技艺,B,恒顺香醋酿制技艺是江苏镇江国家级非遗，始于清道光年间，采用固态分层发酵工艺，风味独特,简单
7,单选,浙江,浙江金华的哪种非遗产品以 “色、香、味、形” 四绝著称，是传统肉制品代表？,金华火腿制作技艺,腊肉腌制技艺,香肠制作技艺,酱肉制作技艺,A,金华火腿制作技艺是浙江国家级非遗，选用特定品种猪肉，经多道工序腌制发酵，风味浓郁,中等
8,单选,安徽,安徽歙县的哪种传统工艺品制作技艺入选国家级非遗，与端砚、洮砚、澄泥砚并称四大名砚？,歙砚制作技艺,徽墨制作技艺,宣纸制作技艺,竹编技艺,A,歙砚制作技艺源于唐代，以歙石为原料，砚台质地温润、发墨快而不损毫，是文房四宝之一,中等
9,单选,江苏,被称为 “百戏之祖”，是中国首个列入世界非物质文化遗产的戏曲剧种是？,京剧,昆曲,越剧,黄梅戏,B,2001 年昆曲被联合国教科文组织列入《人类非物质文化遗产代表作名录》，起源于江苏昆山，影响众多戏曲剧种,简单
10,单选,浙江,发源于浙江绍兴，发祥于上海，以抒情柔美为特色的戏曲剧种是？,昆曲,沪剧,越剧,婺剧,C,越剧是浙江国家级非遗，原名 “绍兴文戏”，以才子佳人题材为主，唱腔委婉动听，流行于全国,简单
11,单选,安徽,被誉为 “戏曲活化石”，流行于安徽池州的古老地方戏曲剧种是？,皖南花鼓戏,池州傩戏,徽剧,庐剧,B,池州傩戏 2006 年入选第一批国家级非遗，保留了大量原始戏曲元素，表演形式古朴庄重,中等
12,单选,上海,流行于上海及周边吴语地区，以滑稽幽默为特色的国家级非遗曲艺项目是？,沪剧,滑稽戏,苏州评弹,锣鼓书,B,滑稽戏是上海国家级非遗，诞生于吴语地区，以讽刺幽默为核心，贴近生活，深受群众喜爱,简单
